topic_id,document_id,probability,text
1,1676,0.11675102,badai angin ujan ngatain anggep perempuan gampang orang duda cerai wajar cerai bahasa pns songong seragam
1,2260,0.115762256,pasien bpjs tebus obat karna max hari tebus cover biji sisa beli luar murah san meanwhile pegawe bpjs pakai asuransi swasta
1,2228,0.1148403,sales tlp bahasa suka plintir update microsoft jaring internet update pajak update tawar arahin email suka ngamuk
1,30529,0.11418978,ukt mahal sulit masyarakat tengah bawah
1,2229,0.11415387,hati mati allah sulit seru bela bangsa palestina sulit etik save palestine socmed
1,18412,0.11347931,apasih google maps dipake kudu update hajdkdlshagaks
1,6321,0.11297828,habis ngeledekin kakak anak diajarin kurikulum enteng menjawb anak masukin swasta sekolah negeri jelek perintah bobrok dalem ati emh enabler preseden wapres kecewa
1,9081,0.1123828,salah perintah kuliah tekunn nyumbang angka indo masyarakat sekolah ukt mahal kuliah murah kasih didik gratis
1,20932,0.112035885,orang selingkuh mikirin moment moment bahagia pasang mean tega
1,17348,0.111765236,populasi semut tingkat gimanaa sii makan disemutin tutup rapet makan tinggal bentar disemutin jugaa kenapaa allahh capek
1,12487,0.11169084,hobi playing victim touch some grasss moron
1,37576,0.11167079,girl give nothing ahh moment
1,6885,0.111658745,economy ngehemat tengah sulit
1,2867,0.111618884,diare lemes semalem oke
1,38132,0.111593716,perintah sesal golput kemaren
1,9642,0.111584924,font ubah jelek njir
1,6396,0.11152721,gambar ini bagus
1,16198,0.111521326,kuota internet mahal
1,912,0.11150818,sumpah ngeselin gimana masukin voucher sistem sibuk konter kaya refund ganti voucher
1,27781,0.11139808,jelek sinyal wifi
2,2544,0.05699181,marahin orang tua ongkos lahir
2,35069,0.056048464,tasyia are dying out here worried about celebs life
2,14717,0.055958144,orang mens gausa senggol kesell
2,120,0.05591875,benci agama dengar ajar mulut have few reasons why think mom doesn deserve speak about religion
2,1335,0.055524603,kocak pdkt minggu pdkt capek capek deket manusia ngebet pacar slow dikit napa
